userid,location,date_time
U34944834ac177bbd1252e63189e6897c,"(23.71213, 120.564259)",2021/07/02 14:07:51
U34944834ac177bbd1252e63189e6897c,"(23.712134, 120.56426)",2021/07/02 14:08:43
U34944834ac177bbd1252e63189e6897c,"(23.712134, 120.56426)",2021/07/02 14:09:51
U34944834ac177bbd1252e63189e6897c,"(23.712134, 120.56426)",2021/07/02 14:10:33
U34944834ac177bbd1252e63189e6897c,"(23.712134, 120.56426)",2021/07/02 14:11:07
U34944834ac177bbd1252e63189e6897c,"(23.712132, 120.564258)",2021/07/02 15:02:56
U34944834ac177bbd1252e63189e6897c,"(23.707755, 120.564425)",2021/07/02 20:25:41
U34944834ac177bbd1252e63189e6897c,"(23.727344, 120.550496)",2021/07/02 20:51:54
U34944834ac177bbd1252e63189e6897c,"(23.71211, 120.56428)",2021/07/02 21:44:30
U34944834ac177bbd1252e63189e6897c,"(23.712098, 120.564272)",2021/07/03 00:11:07
U34944834ac177bbd1252e63189e6897c,"(23.712099, 120.564272)",2021/07/03 00:13:19
U34944834ac177bbd1252e63189e6897c,"(23.706182, 120.565504)",2021/07/03 00:18:30
U34944834ac177bbd1252e63189e6897c,"(23.706182, 120.565504)",2021/07/03 00:25:48
U34944834ac177bbd1252e63189e6897c,"(23.712099, 120.564272)",2021/07/03 00:28:37
U34944834ac177bbd1252e63189e6897c,"(23.712095, 120.564268)",2021/07/03 00:34:54
U34944834ac177bbd1252e63189e6897c,"(23.712114, 120.56428)",2021/07/03 00:38:54
U34944834ac177bbd1252e63189e6897c,"(23.712098, 120.564272)",2021/07/03 00:42:01
U34944834ac177bbd1252e63189e6897c,"(23.712098, 120.564272)",2021/07/03 00:42:57
U34944834ac177bbd1252e63189e6897c,"(23.712098, 120.564272)",2021/07/03 00:45:58
U34944834ac177bbd1252e63189e6897c,"(23.712099, 120.564272)",2021/07/03 01:00:37
U34944834ac177bbd1252e63189e6897c,"(23.712096, 120.564268)",2021/07/03 01:04:56
U34944834ac177bbd1252e63189e6897c,"(23.712098, 120.564272)",2021/07/03 01:07:07
